"id";"nombre";"abreviatura";"urlgob";"url";"facebook";"twitter";"instagram";"linkedin";"youtube";"tiktok"
1;"Presidencia de la República del Perú";"Presidencia";"/presidencia";"www.gob.pe/presidencia";"www.facebook.com/PresidenciaPeru";"www.twitter.com/presidenciaperu";"www.instagram.com/presidenciaperu";"www.linkedin.com/company/74524807/admin/";"www.youtube.com/presidenciaperu";"www.tiktok.com/@presidenciaperu"
2;"Congreso de la República";"Congreso";"/congreso-de-la-republica";"www.gob.pe/congreso-de-la-republica";"www.facebook.com/CongresoPeru";"www.twitter.com/congresoperu";"www.instagram.com/congresodelperu/";"";"www.youtube.com/user/congresoperu";""
3;"Poder Judicial";"PJ";"/pj";"www.gob.pe/pj";"www.facebook.com/CorteSuprema";"www.twitter.com/Poder_Judicial_";"www.instagram.com/pjudicialperu/";"";"www.youtube.com/channel/UCvCLoltBg5y32b0oBG8j0EQ";""
4;"Presidencia del Consejo de Ministros";"PCM";"/pcm";"www.gob.pe/pcm";"www.facebook.com/PCMPERU";"www.twitter.com/pcmperu";"www.instagram.com/pcmperu";"";"www.youtube.com/audiovisualespcm";""
5;"Ministerio de Justicia y Derechos Humanos";"MINJUSDH";"/minjus";"www.gob.pe/minjus";"www.facebook.com/MinjusPeru";"www.twitter.com/MinJusDH_Peru";"www.instagram.com/minjus_peru";"";"www.youtube.com/minjustv";"www.tiktok.com/@minjusdhperu"
6;"Ministerio del Interior";"MININTER";"/mininter";"www.gob.pe/mininter";"www.facebook.com/MININTERPERU";"www.twitter.com/MininterPeru";"www.instagram.com/mininterperu";"";"www.youtube.com/MininterPeru";"www.tiktok.com/@mininterperu"
7;"Ministerio de Educación";"MINEDU";"/minedu";"www.gob.pe/minedu";"www.facebook.com/mineduperu";"www.twitter.com/MineduPeru";"www.instagram.com/mineduperu";"www.linkedin.com/company/ministerio-de-educacion-peru";"www.youtube.com/@MineduPeruOficial";"www.tiktok.com/@minedupe"
8;"Ministerio de Economía y Finanzas";"MEF";"/mef";"www.gob.pe/mef";"www.facebook.com/PeruMEF/";"www.twitter.com/MEF_Peru";"www.instagram.com/mefperu/";"www.linkedin.com/company/ministerio-de-economia-y-finanzas-del-peru/";"www.youtube.com/user/prensamef";"www.tiktok.com/@mefperu"
9;"Ministerio de Desarrollo Agrario y Riego";"MIDAGRI";"/midagri";"www.gob.pe/midagri";"www.facebook.com/midagriperu";"www.twitter.com/midagriperu";"www.instagram.com/midagriperu";"www.linkedin.com/company/midagri/";"www.youtube.com/user/MINAGTV/videos";"www.tiktok.com/@midagriperu"
10;"Ministerio de Energía y Minas";"MINEM";"/minem";"www.gob.pe/minem";"www.facebook.com/MinemPeru";"www.twitter.com/MinemPeru";"www.instagram.com/minemperu/";"www.linkedin.com/company/ministerio-de-energ-a-y-minas/";"www.youtube.com/user/videosminem/featured";""
